"Time","AS 10093 Mean","AS 10093 SD","AS 10093 N","caffeine 20mM Mean","caffeine 20mM SD","caffeine 20mM N",,,,"CalA Mean","CalA SD","CalA N","Ctrl Mean","Ctrl SD","Ctrl N","H2O2 100uM Mean","H2O2 100uM SD","H2O2 100uM N","H2O2 200uM Mean","H2O2 200uM SD","H2O2 200uM N","H2O2 50uM Mean","H2O2 50uM SD","H2O2 50uM N","isoproterenol 100nM Mean","isoproterenol 100nM SD","isoproterenol 100nM N"
0:00:00,3.531912445,0.323944297,336,3.143378474,0.318833946,301,,,,3.611304745,0.432723926,260,3.491556487,0.389954724,286,3.604649580,0.411003576,423,3.456984974,0.389071830,607,3.413952900,0.358171619,476,3.507552098,0.417673833,480
0:00:05,3.539395020,0.327986778,333,3.136264152,0.322824756,305,,,,3.610259826,0.434830961,264,3.512887011,0.394834478,289,3.649498829,0.414328901,428,3.431472267,0.374440739,615,3.410364911,0.354924912,475,3.512588687,0.422750530,475
0:00:10,3.495718458,0.340888091,332,3.127208266,0.321765490,300,,,,3.611879381,0.453185083,263,3.499960406,0.404928721,296,3.629488786,0.411267503,422,3.429921212,0.389561044,608,3.405628056,0.366101098,473,3.522688046,0.423925290,471
0:00:15,3.523510937,0.327187485,327,3.122629072,0.316304487,292,,,,3.625056211,0.437859794,257,3.476163899,0.390928372,289,3.647370535,0.408142421,418,3.424286666,0.378994348,605,3.411563664,0.359042767,474,3.530044921,0.424315688,483
0:00:20,3.518590203,0.326984540,327,3.109062804,0.310978626,296,,,,3.593356319,0.428941109,257,3.457303386,0.396002572,295,3.637682930,0.411944969,426,3.412661824,0.386872034,603,3.393135283,0.358497028,474,3.501974512,0.413863109,484
0:00:25,3.490743859,0.339265001,340,3.094503131,0.319123681,291,,,,3.583290117,0.435931603,262,3.479105645,0.385482226,297,3.655406705,0.422719598,416,3.425716677,0.383130574,606,3.393248268,0.354493040,474,3.489334549,0.420841698,480
0:00:30,3.542252342,0.327748745,327,3.087043357,0.324459642,299,,,,3.650577236,0.455953741,257,3.501032318,0.411185788,282,3.669295303,0.426241906,421,3.487274020,0.383756492,587,3.433756417,0.365767556,465,3.564112337,0.439226670,452
0:00:35,3.538237184,0.331049591,328,3.079296749,0.322417591,299,,,,3.724744797,0.464882492,260,3.673092456,0.434053759,272,3.742438786,0.447900006,424,3.702880967,0.432395632,567,3.623184781,0.365511090,449,3.801387488,0.475468870,434
0:00:40,3.499081188,0.356165283,328,3.103956800,0.309868460,293,,,,3.942870236,0.459485057,244,3.865404910,0.475908882,258,3.893831305,0.458692320,414,4.011405800,0.520035947,538,3.826537419,0.405036761,450,4.128806669,0.525742256,419
0:00:45,3.529565217,0.343155484,324,3.085138584,0.317216177,290,,,,4.120992460,0.500112262,245,4.024095155,0.494725718,261,4.017989170,0.471887612,414,4.257577866,0.607804973,530,4.011541109,0.459972153,442,4.430715486,0.597478726,409
0:00:50,3.528391389,0.339017001,324,3.096388876,0.307095463,289,,,,4.318981760,0.532057093,242,4.126004074,0.554771201,260,4.131215317,0.489714486,408,4.461506098,0.671688889,521,4.151573228,0.482700256,438,4.641028241,0.654969339,409
0:00:55,3.538911176,0.342357182,323,3.089436507,0.308981630,292,,,,4.510032505,0.577492315,241,4.207375981,0.576499993,251,4.231956970,0.505357821,403,4.612535788,0.710443305,513,4.286120142,0.522749959,422,4.795435861,0.676551792,396
0:01:00,3.521184357,0.339395855,317,3.080118072,0.325537157,294,,,,4.663745460,0.586029716,241,4.310442019,0.586478039,260,4.296828814,0.534266830,394,4.723671301,0.742529211,510,4.347937930,0.549471357,427,4.924900822,0.675714195,404
0:01:05,3.523131910,0.335904474,325,3.081743544,0.312839760,288,,,,4.783883182,0.646355761,236,4.379911059,0.608655880,253,4.362781393,0.538017735,389,4.790583142,0.762420461,497,4.440549177,0.546404371,420,4.971385712,0.685992660,399
0:01:10,3.482360058,0.352032585,321,3.084578380,0.318373023,288,,,,4.890426403,0.647556101,236,4.397078834,0.622574359,249,4.417839688,0.541640007,387,4.855982348,0.754457858,505,4.465735738,0.553383103,422,5.046252123,0.702477885,401
0:01:15,3.527349425,0.343062082,322,3.081638310,0.322121056,289,,,,4.938109306,0.700587614,232,4.441109224,0.638798655,255,4.433012379,0.570285359,391,4.933586610,0.769595395,498,4.530501492,0.563360693,419,5.048813546,0.715834540,394
0:01:20,3.522866143,0.324168540,322,3.090473281,0.314330672,292,,,,5.070636364,0.664845268,224,4.476996646,0.640973213,255,4.488101868,0.553598962,394,4.955197999,0.756208767,499,4.585360379,0.577156688,422,5.051961876,0.736204214,396
0:01:25,3.503025853,0.333213209,324,3.067557486,0.321603991,292,,,,5.152785046,0.693864072,223,4.486130473,0.629052138,252,4.524147946,0.576867314,389,4.983175905,0.756320387,501,4.603668642,0.561600665,414,5.092531198,0.721295621,395
0:01:30,3.527639523,0.330429097,325,3.087895444,0.304715250,287,,,,5.165582282,0.690147757,223,4.515445368,0.645836757,256,4.493881992,0.592426372,392,4.983425316,0.756978619,498,4.637218409,0.575402289,418,5.020351828,0.716507739,396
0:01:35,3.516624584,0.329227402,320,3.061483264,0.318039623,288,,,,5.238779344,0.685638673,225,4.488590043,0.657679709,257,4.515434390,0.586957163,391,4.974762892,0.763532894,508,4.650640949,0.601871581,417,5.064069479,0.723568175,394
0:01:40,3.515246611,0.339827539,320,3.063787496,0.314442484,290,,,,5.302362079,0.717112666,229,4.524928364,0.640551777,260,4.537838981,0.607583719,396,5.012675365,0.758511713,504,4.667567758,0.595789325,419,5.070153698,0.689947700,402
0:01:45,3.503848814,0.328559155,319,3.079052210,0.311845814,285,,,,5.291771180,0.738909390,227,4.503770042,0.647324180,263,4.558806678,0.601132414,393,5.005374081,0.759340874,506,4.685610621,0.587071694,419,5.086414090,0.709748156,400
0:01:50,3.515750752,0.334399792,322,3.087075207,0.304139794,289,,,,5.350260028,0.733989864,225,4.541826011,0.649830729,258,4.560884340,0.596111296,387,5.003119222,0.753718495,502,4.694128844,0.598744622,433,5.065708920,0.700375384,400
