Time,1Hz (Mean),1Hz (SD),1Hz (N),2Hz (Mean),2Hz (SD),2Hz (N)
0:00:00,13.27613419,1.44968716,392,13.22830807,0.693672928,391
0:00:05,13.2233501,1.24339599,391,13.25027624,0.653602109,381
0:00:10,13.20610548,1.258431728,382,13.21088667,0.679038415,383
0:00:15,13.24503039,1.410093937,395,13.23973085,0.706572344,386
0:00:20,13.20079404,1.413402438,383,13.24506486,0.690739532,380
0:00:25,13.18681213,1.463462364,391,13.23843274,0.710659164,391
0:00:30,13.16357848,1.22456009,375,13.3699021,0.694107426,365
0:00:35,13.2940119,1.399872267,390,13.6927249,0.720801088,373
0:00:40,13.43572303,1.339018267,376,14.03124339,0.770967681,367
0:00:45,13.56032619,1.287781183,373,14.32405273,0.828332044,350
0:00:50,13.68266859,1.271681148,385,14.56377654,0.913469641,361
0:00:55,13.74245153,1.073003604,386,14.78180936,0.939243874,360
0:01:00,13.87548977,1.438061251,381,14.86429043,1.001648868,359
0:01:05,13.8403044,1.137706155,369,14.94961547,0.994753323,362
0:01:10,13.92695746,1.312281316,365,15.02872889,1.026403305,363
0:01:15,13.91665705,1.140707659,367,15.11551176,1.077324418,345
0:01:20,13.91598664,0.937040942,366,15.22523234,1.082858458,345
0:01:25,13.92953766,1.168243921,368,15.22345785,1.106586658,347
0:01:30,13.99089008,1.364775942,362,15.27865144,1.126463535,355
0:01:35,13.98599362,1.383859644,359,15.2962392,1.09240397,351
0:01:40,14.00649788,1.198280672,364,15.30548552,1.140201457,354
0:01:45,14.0810815,1.546671612,366,15.41449499,1.141473993,356
0:01:50,14.02756288,1.013405705,357,15.46022631,1.159291447,350
0:01:55,14.0580295,1.500347983,359,15.42960935,1.155538267,346
0:02:00,13.89164293,1.111138778,368,15.36597804,1.103936667,339
0:02:05,13.73430494,1.11397842,371,14.9277179,0.969633884,347
0:02:10,13.47906779,1.041602299,372,14.49292672,0.870818102,350
0:02:15,13.37909541,1.065398096,376,14.16724572,0.801443986,369
0:02:20,13.29527631,1.197473318,385,13.88090175,0.741728874,373
0:02:25,13.14725458,0.96205041,381,13.72945046,0.706230313,374
0:02:30,13.13348484,1.199216172,378,13.58492818,0.68817863,380
0:02:35,13.06471802,1.226258775,391,13.44736726,0.660214933,382
0:02:40,13.08336721,1.351000081,391,13.35805848,0.654799992,381
0:02:45,12.99340616,1.204308351,375,13.33923508,0.656758549,372
0:02:50,13.04848118,1.290117886,391,13.27049401,0.647038552,383
0:02:55,12.98898769,0.995951243,384,13.32102652,0.664503272,381
0:03:00,12.99557213,1.232766557,382,13.22678852,0.713245008,397
0:03:05,13.0014067,1.435850495,378,13.30179184,0.692651189,388
0:03:10,12.99046851,1.231913322,389,13.29148651,0.719344731,378
0:03:15,12.96804578,0.752820369,377,13.35477329,0.739860662,387
0:03:20,13.01936488,1.011809245,383,13.35132569,0.715137414,379
0:03:25,13.05745874,0.826721831,387,13.33595368,0.73432499,386
